titulo: Exploring a meaningful learning intervention in a CS1 course | Autor: João Marcelo Borovina Josko
titulo: Ensino de programação para alunos nos anos escolares entre Ensino Fundamental II e Ensino médio: Um Mapeamento Sistemático | Autor: Erlon P. Bié, Eduardo Souto, David Braga, Elaine Oliveira, Leandro Carvalho
titulo: Ensino Introdutório de Programação: Um estudo rumo ao uso das Arquiteturas Pedagógicas | Autor: Francisco Xavier da Silva, Crediné Silva de Menezes, Alberto Nogueira de Castro Junior
titulo: Proposta Inicial de um Conjunto de Heurísticas para Avaliação de Sistemas Educacionais Gamificados | Autor: Otávio Felipe dos Santos Frezato, Thiago Adriano Coleti, Pedro Henrique Dias Valle
titulo: CodeGraph: Uma Ferramenta de Identificação e Visualização de Trilhas de Aprendizagem no Ensino de Programação | Autor: Ilmara Monteverde Martins Ramos, Bruno Freitas Gadelha, David Brito Ramos, David Braga Fernandes de Oliveira, Rafael Ferreira Mello, Elaine Harada Teixeira de Oliveira
titulo: Um Portal Inteligente para o Debate de Teses | Autor: Jeferson Moreli, Pedro David Netto Silveira, Crediné Silva de Menezes
titulo: Interoperabilidade em LMSs: Uma Revisão Bibliométrica do Estado da Arte | Autor: Jackson Raniel F. da Silva, Raphael A. Dourado, Sônia R. Fortes, Vinícius C. Garcia
titulo: Introducing programming logic consistently through gamification | Autor: João Marcelo Borovina Josko, Francisco de Assis Zampirolli
titulo: Um Mapeamento Sistemático da Literatura sobre Ambientes Digitais para o Treinamento de Profissionais da Educação | Autor: Anderson Mine Fernandes, Eduardo Filgueiras Damasceno, Natasha Malveira Costa Valentim
titulo: Aplicação de jogos educativos baseados em realidade aumentada como estratégia de auxílio na alfabetização de crianças com Síndrome de Down | Autor: Allan Kássio Beckman Soares da Cruz, Marcos A. S. de Aquino Junior, Gerson de O. Costa Neto, Carlos de Salles Soares Neto, Mario Meireles Teixeira, Pamela Torres Maia Beckman da Cruz, Kleydson Beckman Barbosa, Claudiny Priscila Lopes Brito
titulo: Avaliação de um Sistema de Chatbot no Ensino de Enfermagem | Autor: Carlos Cesar Custódio, Eduardo Filgueiras Damasceno
titulo: Metaverso para educação em desenvolvimento sustentável | Autor: Luís Antônio Licks Missel Machado, Teresinha Letícia da Silva, Liane Margarida Rockenbach Tarouco, Fabrício Herpich
titulo: Um estudo sobre o uso de Worked Examples e Gamificação para apoiar o ensino de Engenharia de Software | Autor: Simone de França Tonhão, Marcelo Y. Shigenaga, Williamson Silva, Thelma E. Colanzi, Igor F. Steinmacher
titulo: Robotim: Um Jogo Educacional Multidisciplinar com Análise de Dados em Tempo Real | Autor: Lucas R. E. de Oliveira, Andrea Maria P. Valli, Maria Claudia S. Boeres, Lucia Catabriga
titulo: Jogo Sério para Estímulo Sensorial de Crianças com Transtorno do Espectro Autista | Autor: Gabriel Brunelli Pereira, André Bonetto Trindade, Marlow Rodrigo Becker Dickel, Marcelo da Silva Hounsell
titulo: Kahoot! no Ensino Superior: um Estudo sobre Aplicações, Limitações e Estratégias de Utilização | Autor: Ítalo Casemiro, Bruno Costa
titulo: Vidas Secas: Jogo Sério Para Ensino De Literatura | Autor: Carlos R. Record Jr, Eduardo P. Petenasi, Carlos Eduardo Ribeiro, José R. Merlin, Daniela F. Guilhermino Trindade
titulo: Avaliação da Usabilidade de Ferramentas Educacionais Gamificadas: um Mapeamento Sistemático da Literatura | Autor: Adalberto N. Menezes, Rodrigo D. Seabra
titulo: Embracing Representation: Integrating Canoeing and Female Swimming Adapted Sports in a Digital Game Platform | Autor: Daniel Espindola da Silva, André Luiz Brandão, Karla Vittori
titulo: Motivation no Jutsu: Exploring the Power of Badge Aesthetics in Gamified Learning | Autor: Luiz Rodrigues, Armando M. Toda, Paula T. Palomino, Ana C. T. Klock, Anderson Avila-Santos
titulo: Avaliação de um aplicativo educacional por usuários da terceira idade: um estudo de caso com o Duolingo | Autor: Ronan L. R. Ferreira, Ana C. Gonçalves, Ariane C. B. Silva, Diego Antunes, Isabela B. Barcelos, Lucca S. P. Lacerda, Cristiane N. Nobre, Lucila Ishitani
titulo: Jogos Sérios como Subsídio Tecnológico na Educação de Crianças com Transtorno do Espectro Autista | Autor: Suzerlly V. L. Pires, Carlo M. R. da Silva, Bruno J. T. Fernandes, Franciely A. Souza, Sara R. A. Leal, Ticia C. F. Cavalcance, Wylliams B. Santos, Rogério P. de Araújo
titulo: Desenvolvimento de um Jogo de RPG Digital para Fortalecer a Alfabetização no Ensino Fundamental II | Autor: Victor Barcelos Gontijo de Carvalho, Jonatan Henrique da Silva, Gabriel de Freitas Paixão, Hugo Rodrigo Gomes de Castro, Ana Carolina Gondim Inocêncio, Marcos Wagner de Souza Ribeiro, Pedro Moises de Sousa
titulo: Mapeamento Semântico entre Mecânicas de Jogos Sérios e Linhas do Pensamento Computacional | Autor: André Luis Macedo Caruso, Simone André da Costa Cavalheiro, Marílton Sanchotene de Aguiar
titulo: Assistive Technology for Distance Education in Metaverse-Based Environment: A Rapid Review | Autor: Adson Damasceno, Pamella Soares, Ismayle Santos, Jerffeson Souza, Francisco Oliveira
titulo: Solucione.me: um sistema responsivo baseado em gamificação para auxiliar o processo de ensino-aprendizagem, apoiado no ENADE | Autor: José Maria das Chagas Júnior, Sthenia dos Santos Albano Amora, Laura Camila Cardoso Rodrigues, Paulo Gabriel Gadelha Queiroz
titulo: Requisitos para utilização de Jogos Educacionais Digitais na Alfabetização e Letramento sob a perspectiva docente | Autor: Laís Freitas da Silva, Márcia Häfele Islabão Franco
titulo: Laboratório Virtual de Microbiologia: uma ferramenta de apoio para execução de experimentos práticos | Autor: Alex Wendel O. Silva, Manoel Ribeiro, Arinaldo P. Silva
titulo: Gamificação na Educação Básica: Uma Revisão Sistemática do Cenário Nacional | Autor: Alex Pereira Machado, Guilherme Ribeiro Rostas, Tauã Milech Cabreira
titulo: Aplicabilidade de Jogos Digitais Comerciais na Educação: Uma revisão da literatura | Autor: Luís Henrique A. Schünemann, Tatiana R. Garcia
titulo: Metrics Poker - Uma Dinâmica para Apoiar o Ensino de Medição em Projetos de Software | Autor: Luiz O. S. Reis, Stéphanie Leal, Jean C. R. Hauck, Christiane Gresse von Wangenheim
titulo: Desenvolvimento da Consciência Fonológica no Processo de Alfabetização – Análise do aplicativo Graphogame | Autor: Maria Salete, Degelane C. Duarte, Andréa C. Dias
titulo: Modelo Metacognitivo de Mensuração de Habilidades Colaborativas Através de um Instrumento Gamificado | Autor: Victor Azevedo, Carla Veronica M. Marques, Claudia L. R. Motta
titulo: Ensino de Programação e Pensamento Computacional Utilizando Realidade Virtual, Realidade Aumentada e Jogos: Um Mapeamento Sistemático da Literatura | Autor: Paulo André Pimenta Aragão, Gustavo Martins Nunes Avellar, Ellen Francine Barbosa
titulo: Pensar e Vestir: Jogo Digital Educacional para o Desenvolvimento do Pensamento Computacional | Autor: Matheus Soppa Geremias, Taynara Cerigueli Dutra, Eleandro Maschio, Isabela Gasparini
titulo: Qualificação de Professores do Ensino Básico com Jogos: Um Mapeamento Sistemático | Autor: Laura Coura, Saul Delabrida, Reinaldo Fortes, Rone Ilídio, Sérgio de Oliveira, Jadson Castro
titulo: Investigating the Effectiveness of Personalized Gamification in Enhancing Student Intrinsic Motivation: an Experimental Study in Real Context | Autor: Cleon X. Pereira Júnior, Heder Filho S. Santos, Luiz Rodrigues, Newarney T. Costa
titulo: Gamification strategies as formative assessment methods. A systematic review | Autor: Manuel Larrosa, Leandro Wives, Virginia Rodés
titulo: Concepção de um conjunto de recomendações de desenvolvimento e aplicação para promover o engajamento em jogos digitais educacionais abertos | Autor: Elyssa D. R. Bueno, Delano M. Beder, Joice L. Otsuka
titulo: Jogo do Tipo Quiz Auxilia no Engajamento do Estudante | Autor: Marcos A. G. Xavier, Bruno L. Xavier, Paulo V. R. de Carvalho
titulo: My Name: desenvolvimento de um conjunto de mecânicas para abordar o Problema da Mochila em um jogo educacional | Autor: Lucas T. Nascimento, Fabrizio Honda, Douglas Melo, Marcela Pessoa, Elaine H. T. Oliveira, David Fernandes, Fernanda G. S. Pires
titulo: Gamificação e a Experiência de Fluxo no Aprendizado de Programação Básica no Ensino Superior | Autor: Priscilla Fonseca de Abreu Braz, Geiser Chalco, Jário Santos, Marcelo Reis, Seiji Isotani, Ig Ibert Bittencourt
titulo: Classificação de tipos de jogador com base na utilização de elementos de uma gamificação baseada em jogos de RPG | Autor: Rafaela Melo, Gabriel Haydar, Fernanda Pires, Elaine Oliveira, Leandro Galvão, Marcela Pessoa, David Fernandes
titulo: Yerê e a Ilha Precisa: Um jogo RPG para a aprendizagem de literatura | Autor: Manuela Bastos, Jeniffer Macena, João Bernardo, Rafaela Melo, Marcela Pessoa, Fernanda Pires
titulo: Educação Socioenativa: Integrando o Ambiente da Sala de Aula (Social e Físico) com o Digital Usando a Emoção | Autor: José V. da Silva, Cristiane M. Carlos, M. Cecília C. Baranauskas
titulo: Um arcabouço teórico para o ensino de computação para crianças de 4 e 5 anos pautado no codesign | Autor: Stefane Vieira Menezes, Luciano de Oliveira Neris, Kelen Cristiane Teixeira Vivaldini, Alessandra Arce Hai, Carolina Costa Miguel, Vânia Paula de Almeida Neris
titulo: Experiências Educacionais em Disciplinas de Programação de Computadores: uma Análise Qualitativa na Perspectiva dos Estudantes com Deficiência Visual | Autor: Eliana Zen, Vinícius Kruger da Costa, Tatiana Aires Tavares
titulo: Desenvolvimento de uma Interface Tangível de Usuário para Auxílio de Estudantes Cegos em Conteúdos de Disciplinas da Computação | Autor: Camila E. de Lima, Marlon Marcon, André R. Ortoncelli, Franciele Beal
titulo: Experiências com uso de mesa tangível em espaços de educação não formal | Autor: Vinícius Kruger da Costa, Eliana Zen, Adriana Borda Almeida da Silva, Tatiana Aires Tavares
titulo: Avaliação da Experiência de Uso do JFLAP como recurso pedagógico no ensino de Linguagens Formais | Autor: Leonardo Gonçalves da Silva, Bruna de Abreu Dias, Alice Fonseca Finger, Williamson Silva
titulo: Assimetria de gênero na Computação: um estudo de caso em uma universidade pública brasileira | Autor: Maria Luiza M. de Freitas, Grasieli de Lara, Luiz Fernando P. Southier, Fábio Favarim, Eden R. Dosciatti, Lovania R. Teixeira, Marcelo Teixeira
titulo: Avaliando a acessibilidade a partir de uma perspectiva inclusiva: o caso da Plataforma MEC de Recursos Educacionais Digitais | Autor: Krissia Mikaelly Lopes Menezes, Júlia S. B. Ortiz, Roberto Pereira
titulo: Ensino da Educação Financeira para Pessoas com Deficiência Intelectual usando o Jogo Dominó Monetário | Autor: Gabriel Dalzoto Salles, Thomas Krevey Derkascz, Helyane Bronoski Borges, Simone Nasser Matos, Isabel Cristina Torrens, Hellen Jaqueline Cordeiro Mizerski
titulo: Sistemas Complexos com Apoio do ChatGPT na Interpretação de Gráficos para Estudantes com Deficiência Visual | Autor: Jefferson Ribeiro Lima, Ricardo Daniel Prestes Jacaúna, Miriam Garcia Müller, Crediné Silva de Menezes
titulo: Direcionando Tecnologia para a Dislexia: Um Guia Prático para a Criação de TDICs | Autor: Laura Quevedo Jurgina, Vitor dos Santos Amaral Borges, Leomar Soares da Rosa Júnior, Marilton Sanchotene de Aguiar, Tiago Thompsen Primo
titulo: Uaffect: Um Modelo para Predição de Estados Afetivos em Ambientes Educacionais a partir de Históricos de Contextos | Autor: Sandro O. Dorneles, Luís Guilherme Eich, Débora Nice Ferrari Barbosa, Rosemary Francisco, Jorge L. V. Barbosa
titulo: Desenvolvimento de Soft Skills: Um Programa de Formação Universitária na Era da Capacitação 4.0 | Autor: Sam da Silva Devincenzi, Viviani Rios Kwecko, Aléssio Almada da Costa, Alessandro de Lima Bicho
titulo: Automated Thematic Coherence Scoring of Student Essays Written in Portuguese | Autor: Rafael Pacheco, Luiz Rodrigues, Lucas Lins, Péricles Miranda, Valmir Macário, Seiji Isotani, Thiago Cordeiro, Ig Ibert Bittencourt, Diego Dermeval, Dragan Gašević, Rafael Ferreira Mello
titulo: SAGE: A dataset for Smart Adaptive Gamified Education | Autor: Armando Toda, Luiz Rodrigues, Paula T. Palomino, Ana C. T. Klock, Filipe D. Pereira, Elaine H. T. de Oliveira, Isabela Gasparini, Seiji Isotani, Alexandra I. Cristea
titulo: Mineração de Dados Educacionais: Investigando a Relação entre os Microdados do INEP e o Desempenho do IDEB | Autor: Mariana de Lira Farias, Renê Pereira de Gusmão, Cleonides Silva Dias Gusmão
titulo: Sistemas Tutores Inteligentes na Aprendizagem por Competências: Uma Revisão Sistemática da Literatura | Autor: Cláudia S. da Silva, Treice O. Moreira, Isabel Fernandes, Cláudio Passos, Julio Cesar Duarte, Ronaldo R. Goldschmidt
titulo: Mineração de Dados Educacionais para Predição da Evasão em Cursos de Graduação Presenciais no Ensino Superior | Autor: Gustavo Zanini Kantorski, Ricardo Zimmermann Martins, Arthur Balejo, Marcio Frick
titulo: Avaliação da Eficiência de Sistemas Educacionais Aplicando Técnicas de Agrupamento e DEA | Autor: Ismayle S. Santos, Rafael L. Gomes, William S. Vilaça
titulo: Exploring the Relationship between Students Engagement and Self-Regulated Learning: A Case Study using OULAD Dataset and Machine Learning Techniques | Autor: Geycy D. O. Lima, Juliete A. R. Costa, Rafael D. Araújo, Fabiano A. Dorça
titulo: O Efeito das Características dos Alunos em Modelos de Dinâmica de Afetos e Detecção Livre de Sensores | Autor: Felipe de Morais, Patricia A. Jaques
titulo: Smart Campuses e Ontologias: Um Mapeamento Sistemático da Literatura e Caminhos para a Pesquisa | Autor: Vinícius Maran, Gabriel Machado Lunardi, Guilherme Medeiros Machado, Leonardo Nascimento, Daniel Lichtnow, Nathália Locatelli Cezar, Isabela Gasparini, Elaine Harada Teixeira de Oliveira, José Palazzo M. de Oliveira
titulo: Avaliação da interpretabilidade de modelos por meio da clusterização de explicações no contexto da predição de evasão no ensino superior | Autor: Cássio S. Carvalho, Júlio C. B. Mattos, Marilton S. Aguiar
titulo: Solving the Individualized Instructional Content Delivery Problem Using Ontology and Metaheuristics on the Set Covering Problem: An Experimental Analysis | Autor: Clarivando F. Belizário Júnior, Fabiano A. Dorça, Luciana Assis, Alessandro Vivas
titulo: Ferramenta para Predição do Desempenho Acadêmico no Ensino Superior | Autor: Léo Manoel Lopes da Silva Garcia, Daiany Francisca Lara, Raquel Salcedo Gomes, Sílvio Cezar Cazella
titulo: Classificação ou Regressão? Avaliando Coesão Textual em Redações no contexto do ENEM | Autor: Hilário Oliveira, Rafael Ferreira Mello, Péricles Miranda, Bruno Alexandre, Thiago Cordeiro, Ig Ibert Bittencourt, Seiji Isotani
titulo: A evolução do perfil de estudantes de Engenharia com bom desempenho no ENADE | Autor: Eric Gondran, Giarcarlo Lucca, Eduardo N. Borges, Helida Santos
titulo: Empowering Instructors with Collective Intelligence: Learning Problem-Solving Paths to Facilitate Feedback Generation | Autor: Thyago Tenório, Luiz Rodrigues, Seiji Isotani, Ig Ibert Bittencourt
titulo: Students’ perception about ChatGPT’s impact on their Academic Education | Autor: Ana Sofia Schweizer Silvestre, Elaina Lynn de Moura Amaral, Maria Eduarda Holanda, Edna Dias Canedo
titulo: Um Estudo Exploratório sobre o uso do ChatGPT na Melhoria e Revisão da Escrita de Artigos Científicos | Autor: Rodrigo Cargnelutti, Maicon Bernardino, Renato Garcia, Williamson Silva
titulo: Avaliando a habilidade do ChatGPT de realizar provas de Dedução Natural em Lógica Proposicional | Autor: Francisco Leonardo Batista Martins, Augusto César Araújo de Oliveira, Davi Romero de Vasconcelos, Maria Viviane de Menezes
titulo: Análise de dados pré-universidade para predizer a evasão de alunos ingressantes em uma instituição de ensino superior | Autor: Adair Perdomo Falcão, Rosangela Villwock, Simone Aparecida Miloca
titulo: Predição do Conceito ENADE dos Cursos de Computação no Brasil | Autor: Renan G. A. Sakashita, Diego Bertolini, André Luis Schwerz
titulo: From Text to Maps: Automated Concept Map Generation Using Fine-tuned Large Language Model | Autor: Wagner de A. Perin, Davidsom Cury, Camila Zacché de Aguiar, Crediné S. de Menezes
titulo: Análise de sentimentos em turmas de programação com vistas ao apoio à permanência estudantil | Autor: Ricardo J. Pfitscher, Luiz C. Camargo, Benjamin G. Moreira, Carolina Wang, Rosilaine Zedral, Tatiana R. Garcia
titulo: Uma Avaliação de Dados Abertos Educacionais Brasileiros: Qualidade, Privacidade e Learning Analytics | Autor: Ciro X. Maretto, Monalessa P. Barcellos
titulo: Alfa - Um Chatbot do tipo Perguntas e Respostas como Assistente Virtual no AVA Moodle | Autor: Victon Santos, Matheus Sousa, Francisco Medeiros, Heremita Lira, Nadja Rodrigues
titulo: Identificação de silabação em áudios de leitura de crianças em anos iniciais | Autor: Bruno de O. Jucá, Caio C. Rocha, Rômulo C. de Mello, Eduardo Barrére, Jairo Francisco de Souza
titulo: ChatGPT no auxílio da aprendizagem de programação: Um estudo de caso | Autor: Silvino Marques da Silva Junior, Robson Almeida Borges de Freitas, Márcio Aurélio Carvalho de Morais, Daniel Leite Viana Costa
titulo: Descoberta de padrões sequenciais de aprendizagem em um ambiente voltado ao ensino de algoritmos | Autor: Djefferson Maranhão, Paulo Victor Borges, Carlos de Salles Soares Neto
titulo: Statistical Analyses of Learning Metrics in High School: a Study for Personalized Feedback Purposes | Autor: Maely Moraes, Gabriel Leitão, Áurea Melo, Raimundo Barreto
titulo: Probabilistic classification of educational videos considering comments: an experimental analysis on Youtube | Autor: Henrique C. F. B. Carvalho, Cristiano G. Pitangui, Fabiano A. Dorça, Catrine S. Oliveira, Eduardo A. C. Trindade, Alessandro V. Andrade, Luciana P. Assis
titulo: Teacher-Centered Intelligent Tutoring Systems: Design Considerations from Brazilian, Public School Teachers | Autor: Luiz Rodrigues, Guilherme Guerino, Geiser Chalco Challco, Thomaz Edson Veloso, Lívia Oliveira, Rodolfo Sena da Penha, Rafael Ferreira Melo, Thales Vieira, Marcelo Marinho, Valmir Macario, Ig Ibert Bittencourt, Seiji Isotani, Diego Dermeval
titulo: Essays’ Coherence Analysis Via Entity Grid Approach | Autor: Jessica Oliveira Brito, Elias de Oliveira
titulo: Algoritmos de Reconhecimento de Dígitos para Integração de Equações Manuscritas em Sistemas Tutores Inteligentes | Autor: Sergio Chevtchenko, Luiz Rodrigues, Daniel Rosa, Filipe Cordeiro, Ruan Carvalho, Everton Souza, Thales Vieira, Diego Dermeval, Ig Ibert Bittencourt, Seiji Isotani, Marcelo Marinho, Valmir Macario
titulo: Combinando Diferentes Formas de Cálculo de Indicadores do PNE e Agrupamento para o Apoio à Decisão | Autor: Ebony Marques, Gabriel Alves, Andrêza Alencar, Rafael Mello, Ibsen Bittencourt
titulo: Uma visão sobre Pensamento Computacional no Ensino Superior do Brasil: características e desafios | Autor: Nisston Moraes T. de Melo, Lívia Sampaio Campos, Eliane Cristina de Araujo
titulo: Classificação do Diálogo Freireano em Mensagens de Fóruns de Discussão: Uma Análise de Desempenho do TF-IDF e o BERT para Sentenças | Autor: Francisco Romes da Silva Filho, Gabriel Antoine Louis Paillard, Rafael Augusto Ferreira do Carmo, Ernesto Trajano de Lima, Michel Sales Bonfim
titulo: Detecção de Outliers em Finanças de Instituições de Ensino Superior Brasileiras Utilizando Aprendizado de Máquina Não Supervisionado | Autor: Nathan C. Freitas, Roberta M. M. Gouveia, Ebony M. Rodrigues, Gabriel Alves, Maria da Conceição M. Batista, Rodrigo Lins Rodrigues
titulo: STI Curumim: Uma Ferramenta de Aprendizagem de Trigonometria baseada na Teoria das Experiências de Aprendizagem Mediadas | Autor: Fabiann Matthaus Barbosa, José Francisco de Magalhães Netto
titulo: A Comparative Analysis Between Good Feedback Descriptors on Online Courses | Autor: Anderson Pinheiro Cavalcanti, Vitor Belarmino Rolim, Dragan Gašević, Rafael Ferreira Mello
titulo: Previsão de Reprovações em Disciplinas Introdutórias de Programação: Um Estudo em um Ambiente de Correção Automática de Códigos | Autor: Carlos Eduardo Paulino Silva, João Lucas Silva Solano, André Gustavo dos Santos, Julio Cesar Soares dos Reis
titulo: Proposição de uma sequência didática baseada no pensamento computacional para idosos | Autor: Emerson Rogério de Oliveira Jr., Lis Ângela De Bortoli, Ana Carolina Bertoletti De Marchi, Adriano Pasqualotti, Henrique Teixeira Gil
titulo: Automated Correction for Trace Tables in a CS1 Course | Autor: Fernando Teubl, Francisco Zampirolli
titulo: PAPC – Protocolo para avaliação por critérios do Pensamento Computacional no Ensino Fundamental 1 | Autor: Icleia Santos, Elaine C. Grebogi, Roberto Pereira, Marcos A. Castilho
titulo: Avaliação de Aceitação do Sistema de Acompanhamento de Egressos - SAVE | Autor: Aline Vieira de Mello, Alice Fonseca Finger, William Christopher Ramos Oliveira, Marcos Eduardo Lopes Silva
titulo: Sistema ELoS - Ensino de Lógica de Programação com apoio de um Sistema Gráfico | Autor: Rodrigo Oliveira Ferrari, André Luís Braga Dutra, Vitória Ferreira César, Rayssa Amaral Gomes, Rodrigo Luis de Souza da Silva
titulo: Estratégias de aprendizagem colaborativa aplicadas no ensino e avaliação do pensamento computacional: uma revisão sistemática | Autor: Edilaine Santiago de Oliveira Nascimento, Miguel Franklin de Castro
titulo: Potencializando Competências: O Impacto Do Pensamento Computacional Em Jovens Participantes De Um Curso Da ENTER Tech Edu | Autor: Gabriela Hennig Bordignon, Carlos Costa, Natan Klein, Ana Caroline de Longhi Ozelame, Julia Teston Machado, Amilton Rodrigo de Quadros Martins, Fernando Pinheiro, Ralph José Rassweiler
